Protein Accession,Protein Title,Region Info
ACL94627.1,beta-D-glucoside glucohydrolase BglX [Caulobacter vibrioides NA1000],"{'Region': SimpleLocation(ExactPosition(30), ExactPosition(762)), 'Region Name': 'PRK15098', 'Note': 'beta-glucosidase BglX'}"
BCM90541.1,hypothetical protein IAD21_02395 [Abditibacteriota bacterium],"{'Region': SimpleLocation(BeforePosition(105), ExactPosition(335)), 'Region Name': 'BglB', 'Note': 'Beta-glucosidase/6-phospho-beta-glucosidase/beta- galactosidase [Carbohydrate transport and metabolism]; COG2723'}"
BCM93164.1,6-phospho-beta-galactosidase [Abditibacteriota bacterium],"{'Region': SimpleLocation(ExactPosition(70), ExactPosition(420)), 'Region Name': 'BglB', 'Note': 'Beta-glucosidase/6-phospho-beta-glucosidase/beta- galactosidase [Carbohydrate transport and metabolism]; COG2723'}"
AIR61364.1,beta-D-glucoside glucohydrolase [Cedecea neteri],"{'Region': SimpleLocation(ExactPosition(0), ExactPosition(764)), 'Region Name': 'PRK15098', 'Note': 'beta-glucosidase BglX'}"
